date,league,teamA,teamB,time,status
4/21/2026,الدوري الإنجليزي,برايتون,تشيلسي,21:00,لم تبدأ
4/21/2026,الدوري الإسباني,أتلتيك بلباو,أوساسونا,19:00,لم تبدأ
4/21/2026,الدوري الإسباني,مايوركا,فالنسيا,19:00,لم تبدأ
4/21/2026,الدوري الإسباني,جيرونا,ريال بيتيس,21:30,لم تبدأ
4/21/2026,الدوري الإسباني,ريال مدريد,ألافيس,21:30,لم تبدأ
4/21/2026,كأس إيطاليا,إنتر ميلان,كومو,21:00,لم تبدأ
4/21/2026,كأس فرنسا,لانس,تولوز,21:10,لم تبدأ
4/21/2026,دوري أبطال آسيا للنخبة,شباب الأهلي,ماتشيدا زيلفيا,18:15,لم تبدأ
4/21/2026,دوري القسم الثاني-أ,طنطا,المصرية للاتصالات,15:00,لم تبدأ
4/22/2026,الدوري المصري,المصري,إنبي,17:00,لم تبدأ
4/22/2026,الدوري المصري,سموحة,سيراميكا كليوباترا,20:00,لم تبدأ
4/22/2026,الدوري الإنجليزي,بيرنلي,مانشستر سيتي,21:00,لم تبدأ
4/22/2026,الدوري الإنجليزي,بورنموث,ليدز يونايتد,21:00,لم تبدأ
4/22/2026,الدوري الإسباني,إلتشي,اتلتيكو مدريد,19:00,لم تبدأ
4/22/2026,الدوري الإسباني,ريال سوسيداد,خيتافي,20:00,لم تبدأ
4/22/2026,الدوري الإسباني,برشلونة,سيلتا فيجو,21:30,لم تبدأ
4/22/2026,الدوري الفرنسي,باريس سان جيرمان,نانت,19:00,لم تبدأ
4/22/2026,كأس إيطاليا,أتالانتا,لاتسيو,21:00,لم تبدأ
4/22/2026,كأس فرنسا,ستراسبورج,نيس,21:00,لم تبدأ
4/22/2026,كأس ألمانيا,باير ليفركوزن,بايرن ميونيخ,20:45,لم تبدأ
4/23/2026,الدوري المصري,المقاولون العرب,الاتحاد السكندري,17:00,لم تبدأ
4/23/2026,الدوري المصري,الزمالك,بيراميدز,20:00,لم تبدأ
4/23/2026,الدوري المصري,غزل المحلة,بتروجت,20:00,لم تبدأ
4/23/2026,الدوري الإسباني,ليفانتي,اشبيلية,19:00,لم تبدأ
4/23/2026,الدوري الإسباني,رايو فاييكانو,اسبانيول,20:00,لم تبدأ
4/23/2026,الدوري الإسباني,ريال أوفييدو,فياريال,21:30,لم تبدأ
4/23/2026,كأس ألمانيا,شتوتجارت,فرايبورج,20:45,لم تبدأ
4/23/2026,دوري القسم الثاني-أ,الترسانة,بترول أسيوط,15:00,لم تبدأ
4/23/2026,دوري القسم الثاني-أ,ديروط,الانتاج الحربي,15:00,لم تبدأ
4/23/2026,دوري القسم الثاني-أ,بروكسي,السكة الحديد,15:00,لم تبدأ
4/23/2026,دوري القسم الثاني-أ,أسوان,مسار,15:00,لم تبدأ
4/23/2026,دوري القسم الثاني-أ,مالية كفر الزيات,القناة,15:00,لم تبدأ
4/23/2026,دوري القسم الثاني-أ,راية الرياضي,المنصورة,15:00,لم تبدأ
4/23/2026,دوري القسم الثاني-أ,الداخلية,بلدية المحلة,15:00,لم تبدأ
4/23/2026,الدوري المصري الممتاز - سيدات,مودرن سبورت,رع,14:30,لم تبدأ
4/23/2026,الدوري السعودي,النجمة,التعاون,18:10,لم تبدأ
4/23/2026,الدوري السعودي,ضمك,الأخدود,20:00,لم تبدأ
4/23/2026,الدوري البرتغالي,سبورتنج لشبونة,تونديلا,,مؤجل
4/23/2026,الدوري البرتغالي,كازا بيا,سبورتينج براجا,21:15,لم تبدأ
4/23/2026,الدوري الإماراتي,اتحاد كلباء,بني ياس,16:00,لم تبدأ
4/23/2026,الدوري الإماراتي,الشــارقة,الوحـــدة,16:00,لم تبدأ
4/23/2026,الدوري الإماراتي,البطائح,العين,18:45,لم تبدأ
4/23/2026,الدوري الإماراتي,شباب الأهلي,خورفكان,18:45,لم تبدأ
4/23/2026,الدوري التونسي,الترجى الرياضي,الترجي الجرجيسي,16:00,لم تبدأ
4/24/2026,الدوري المصري,فاركو,الجونة,17:00,لم تبدأ
4/24/2026,الدوري المصري,البنك الأهلي,زد,17:00,لم تبدأ
4/24/2026,الدوري المصري,الإسماعيلي,مودرن سبورت,20:00,لم تبدأ
4/24/2026,الدوري المصري,طلائع الجيش,كهرباء الإسماعيلية,20:00,لم تبدأ
4/24/2026,الدوري الإنجليزي,سندرلاند,نوتينجهام فورست,22:00,لم تبدأ
4/24/2026,الدوري الإسباني,ريال بيتيس,ريال مدريد,22:00,لم تبدأ
4/24/2026,الدوري الإيطالي,نابولي,كريمونيسي,21:45,لم تبدأ
4/24/2026,الدوري الفرنسي,بريست,لانس,21:45,لم تبدأ
4/24/2026,الدوري الأفريقي لكرة السلة,فيل دي داكار,النادي الإفريقي,17:00,لم تبدأ
4/24/2026,الدوري الأفريقي لكرة السلة,جي سي كينجز,نادي الفتح الرياضي,20:00,لم تبدأ
4/24/2026,الدوري المصري الممتاز - سيدات,بالم هيلز,اتحاد بسيون,14:30,لم تبدأ
4/24/2026,الدوري المصري الممتاز - سيدات,وادي دجلة,البنك الأهلي,14:30,لم تبدأ
4/24/2026,الدوري المصري الممتاز - سيدات,انبي,الأهلي,14:30,لم تبدأ
4/24/2026,الدوري المصري الممتاز - سيدات,الزمالك,المقاولون العرب,14:30,لم تبدأ
4/24/2026,الدوري المصري الممتاز - سيدات,إس أي كا إف سـي الرياضي,زد,14:30,لم تبدأ
4/24/2026,الدوري المصري الممتاز - سيدات,مسار,الطيران,14:30,لم تبدأ
4/24/2026,الدوري المصري الممتاز - سيدات,بيراميدز,المصري,14:30,لم تبدأ
4/24/2026,الدوري السعودي,الفتح,الخليج,18:45,لم تبدأ
4/24/2026,الدوري السعودي,الحزم,الرياض,19:10,لم تبدأ
4/24/2026,الدوري التركي,إسطنبول باشاكشهير,قاسم باشا,20:00,لم تبدأ
4/24/2026,الدوري الإماراتي,الوصل,دبا,16:00,لم تبدأ
4/24/2026,الدوري الإماراتي,الظفرة,عجمان,16:00,لم تبدأ
4/24/2026,الدوري الإماراتي,النصر الإماراتي,الجــزيرة,18:45,لم تبدأ
4/25/2026,الدوري المصري,حرس الحدود,وادي دجلة,17:00,لم تبدأ
4/25/2026,الدوري الإنجليزي,فولهام,أستون فيلا,14:30,لم تبدأ
4/25/2026,الدوري الإنجليزي,وولفرهامبتون,توتنهام هوتسبر,17:00,لم تبدأ
4/25/2026,الدوري الإنجليزي,ليفربول,كريستال بالاس,17:00,لم تبدأ
4/25/2026,الدوري الإنجليزي,وست هام يونايتد,إيفرتون,17:00,لم تبدأ
4/25/2026,الدوري الإنجليزي,أرسنال,نيوكاسل,19:30,لم تبدأ
4/25/2026,الدوري الإسباني,ألافيس,مايوركا,15:00,لم تبدأ
4/25/2026,الدوري الإسباني,خيتافي,برشلونة,17:15,لم تبدأ
4/25/2026,الدوري الإسباني,فالنسيا,جيرونا,19:30,لم تبدأ
4/25/2026,الدوري الإسباني,اتلتيكو مدريد,أتلتيك بلباو,22:00,لم تبدأ
4/25/2026,كأس الاتحاد الإنجليزي,مانشستر سيتي,ساوثامبتون,18:15,لم تبدأ
4/25/2026,الدوري الإيطالي,بارما,بيزا كالتشيو,16:00,لم تبدأ
4/25/2026,الدوري الإيطالي,هيلاس فيرونا,ليتشي,21:45,لم تبدأ
4/25/2026,الدوري الفرنسي,ليون,اوكسير,17:00,لم تبدأ
4/25/2026,الدوري الفرنسي,أنجيه,باريس سان جيرمان,19:00,لم تبدأ
4/25/2026,الدوري الفرنسي,تولوز,موناكو,21:05,لم تبدأ
4/25/2026,الدوري الألماني,ماينز,بايرن ميونيخ,16:30,لم تبدأ
4/25/2026,الدوري الألماني,هايدنهايم,سانت باولي,16:30,لم تبدأ
4/25/2026,الدوري الألماني,كولن,باير ليفركوزن,16:30,لم تبدأ
4/25/2026,الدوري الألماني,هامبورج,هوفنهايم,16:30,لم تبدأ
4/25/2026,الدوري الألماني,أوجسبورج,آ. فرانكفورت,16:30,لم تبدأ
4/25/2026,الدوري الألماني,بروسيا دورتموند,فرايبورج,16:30,لم تبدأ
4/25/2026,الدوري الألماني,فولفسبورج,مونشنجلادباخ,16:30,لم تبدأ
4/25/2026,الدوري الألماني,شتوتجارت,فيردر بريمن,16:30,لم تبدأ
4/25/2026,الدوري الألماني,لايبزيج,يونيون برلين,16:30,لم تبدأ
4/25/2026,دوري القسم الثاني-أ,لافيينا أف سي,بترول أسيوط,16:00,لم تبدأ
4/25/2026,دوري القسم الثاني-أ,المصرية للاتصالات,أبو قير للاسمدة,16:00,لم تبدأ
4/25/2026,الدوري الأفريقي لكرة السلة,ماكتاون فلايرز,جي سي كينجز,16:00,لم تبدأ
4/25/2026,الدوري الأفريقي لكرة السلة,النادي الإفريقي,الأهلي,19:00,لم تبدأ
4/25/2026,الدوري التركي,ايوبسبور,غازي عنتاب بي.بي.كي,13:30,لم تبدأ
4/25/2026,الدوري التركي,قيصري سبور,ريزه سبور,16:00,لم تبدأ
4/25/2026,الدوري التركي,جوزتيبي,انطاليا سبور,19:00,لم تبدأ
4/25/2026,الدوري التونسي,إتحاد بن قردان,الإتحاد المنستيري,15:00,لم تبدأ
4/26/2026,الدوري الإسباني,رايو فاييكانو,ريال سوسيداد,15:00,لم تبدأ
4/26/2026,الدوري الإسباني,ريال أوفييدو,إلتشي,17:15,لم تبدأ
4/26/2026,الدوري الإسباني,أوساسونا,اشبيلية,19:30,لم تبدأ
4/26/2026,الدوري الإسباني,فياريال,سيلتا فيجو,22:00,لم تبدأ
4/26/2026,كأس الاتحاد الإنجليزي,تشيلسي,ليدز يونايتد,16:00,لم تبدأ
4/26/2026,الدوري الإيطالي,فيورنتينا,ساسولو,13:30,لم تبدأ
4/26/2026,الدوري الإيطالي,جنوى,كومو,16:00,لم تبدأ
4/26/2026,الدوري الإيطالي,تورينو,إنتر ميلان,19:00,لم تبدأ
4/26/2026,الدوري الإيطالي,لاتسيو,أودينيزي,21:45,لم تبدأ
4/26/2026,الدوري الإيطالي,ميلان,يوفنتوس,21:45,لم تبدأ
4/26/2026,الدوري الفرنسي,لوريان,ستراسبورج,15:00,لم تبدأ
4/26/2026,الدوري الفرنسي,لوهافر,ميتز,17:15,لم تبدأ
4/26/2026,الدوري الفرنسي,رين,نانت,17:15,لم تبدأ
4/26/2026,الدوري الفرنسي,نادي باريس,ليل,17:15,لم تبدأ
4/26/2026,الدوري الفرنسي,مارسيليا,نيس,20:45,لم تبدأ
4/26/2026,الدوري الأفريقي لكرة السلة,فيل دي داكار,الأهلي,16:00,لم تبدأ
4/26/2026,الدوري الأفريقي لكرة السلة,ماكتاون فلايرز,نادي الفتح الرياضي,19:00,لم تبدأ
4/26/2026,الدوري التركي,جنتشلربيرليجي,كوجالي سبور,13:30,لم تبدأ
4/26/2026,الدوري التركي,جالاتا سراي,فنربخشة,19:00,لم تبدأ
4/26/2026,الدوري البرتغالي,إستوريل برايا,فاماليكاو,22:00,لم تبدأ
4/26/2026,الدوري البرتغالي,تونديلا,ناسيونال ماديرا,22:00,لم تبدأ
4/26/2026,الدوري البرتغالي,جل فيسنتي,كازا بيا,22:00,لم تبدأ
4/26/2026,الدوري البرتغالي,إستريلا,بورتو,22:00,لم تبدأ
4/26/2026,الدوري البرتغالي,اي في اس فوتبول,سبورتنج لشبونة,22:00,لم تبدأ
4/26/2026,الدوري البرتغالي,سانتا كلارا,سبورتينج براجا,22:00,لم تبدأ
4/26/2026,الدوري البرتغالي,فيتوريا جيماريش,ريو آفي,22:00,لم تبدأ
4/26/2026,الدوري البرتغالي,بنفيكا,موريرنسي,22:00,لم تبدأ
4/26/2026,الدوري البرتغالي,ألفيركا,أروكا,22:00,لم تبدأ
4/27/2026,الدوري المصري,سموحة,المصري,17:00,لم تبدأ
